"","loop","WT_1","WT_2","WT_3","TRT_1","TRT_2","TRT_3","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"9648",9648,119,136,91,126,166,115,123.470268206083,-0.000251380404370896,0.0539498086629259,0.982541571930201,0.999999433852421
"9649",9649,38,35,48,32,36,43,38.3152997438168,0.000305466788062659,0.0551263702177812,0.976299401757393,0.999999433852421
"9650",9650,117,60,92,98,72,122,90.6816519771375,-0.000486321415629755,0.0543249692305204,0.96877395912907,0.999999433852421
"9651",9651,223,182,149,169,154,181,174.761426154661,-0.000374643763276496,0.053498871238847,0.979981343647912,0.999999433852421
"9652",9652,17,16,16,11,19,25,16.8357617556055,0.000221725317858684,0.0555773631312346,0.975794384407331,0.999999433852421
"9653",9653,77,81,81,260,336,320,155.47669566729,0.00105601248020485,0.0537980392038685,0.945240607530414,0.999999433852421
"9654",9654,82,71,92,85,87,84,83.2436652122787,3.40986174191765e-05,0.0544107861669427,0.999160834600923,0.999999433852421
"9655",9655,67,79,87,80,82,62,75.6432587858158,-0.000244740710742567,0.0545163250915547,0.982908923929311,0.999999433852421
"9656",9656,8,5,6,7,5,2,5.09912225663876,-0.00114921712782651,0.0558843547063494,0.768694550416626,0.999999433852421
"9657",9657,12,14,15,14,11,11,12.7546548218453,0.000100796312019801,0.0556749050476638,0.988258765265664,0.999999433852421
"9658",9658,46,43,66,47,36,51,47.3507635850829,0.000440255847303999,0.0549642534455182,0.968138374865281,0.999999433852421
"9659",9659,69,53,80,70,44,53,60.2391095600475,0.000941299084014718,0.0547604131132336,0.936156840314725,0.999999433852421
"9660",9660,83,108,114,72,91,83,90.6743563324103,-0.000728033244710582,0.0543244741803595,0.953607758443067,0.999999433852421
"9661",9661,64,100,114,102,92,119,96.6446234737039,8.08088692602001e-05,0.0542458806246724,0.995917845689451,0.999999433852421
"9662",9662,50,59,56,79,59,44,56.8898179014371,0.00132405198568019,0.0548222247931014,0.908081119716523,0.999999433852421
"9663",9663,69,75,77,81,97,89,80.8200426602682,0.00103138470929373,0.0544577543997896,0.936239453243671,0.999999433852421
"9664",9664,4,8,7,4,7,6,5.94049285267676,0.000350126399804373,0.0558578303959783,0.932268723374971,0.999999433852421
"9665",9665,34,25,27,24,23,22,25.568192153457,-0.00043938419590076,0.0553862933728734,0.955933371025425,0.999999433852421
"9666",9666,81,49,78,82,83,79,74.169926090246,0.000253879236151093,0.0545408205365535,0.984834350416518,0.999999433852421
"9667",9667,84,90,89,69,71,99,82.9783649211525,-0.00072694198222194,0.0544230758564589,0.95373706368135,0.999999433852421
"9668",9668,51,70,58,71,47,59,58.6705410290247,0.000274859595646771,0.0547723187219571,0.980617795884517,0.999999433852421
"9669",9669,55,36,42,20,39,40,37.0836274153255,0.000700521183164346,0.055164354381914,0.938992281096768,0.999999433852421
"9670",9670,31,33,37,108,180,148,69.1189007430809,-0.000961197929841105,0.0547430489506017,0.932383731587624,0.999999433852421
"9672",9672,50,79,58,73,70,44,61.0057795308324,0.000160018465026976,0.0547370485715968,0.990273325270658,0.999999433852421
"9673",9673,121,96,99,78,115,74,95.6027442696167,0.00077094281179996,0.0542667770557831,0.955352661826608,0.999999433852421
"9674",9674,19,7,7,11,12,10,10.3933194710102,0.00140713354207143,0.0557580842358105,0.800197626343239,0.999999433852421
"9675",9675,42,45,53,53,41,50,47.0796791074119,0.000594140355734409,0.0549690092681123,0.956485408969772,0.999999433852421
"9676",9676,21,28,22,28,35,35,27.6248302830072,-8.99174838044003e-07,0.0553415759901592,0.998366660877364,0.999999433852421
"9677",9677,41,39,45,43,52,33,41.7734070346758,0.000155499137981222,0.0550613542617676,0.994713029726254,0.999999433852421
"9678",9678,78,67,76,29,79,80,64.6212743297771,-0.000337042636584017,0.0546885777294574,0.975816264833512,0.999999433852421
"9680",9680,10,6,10,6,4,10,7.34953945772009,0.00127726136543103,0.0558407774093409,0.778496477570087,0.999999433852421
"9681",9681,63,85,57,81,66,43,64.2250302063537,-0.000630841077573609,0.0546910812929144,0.968540162666814,0.999999433852421
"9682",9682,30,124,102,66,104,135,84.0149964906801,0.000518520157946095,0.0544356589053303,0.969368907077183,0.999999433852421
"9683",9683,52,33,34,39,58,53,43.7429598010571,0.000544469680810622,0.0550330972412242,0.959146427698246,0.999999433852421
"9684",9684,74,80,85,80,103,77,82.6795386025105,-0.00111036796656581,0.054435117114439,0.929815245824619,0.999999433852421
"9685",9685,97,82,90,90,86,79,87.1382221687762,-0.000198849413404228,0.0543603325425762,0.990441818210371,0.999999433852421
"9686",9686,16,14,17,14,15,19,15.7518698029543,-0.000722206095550853,0.0556088271314462,0.91186343982196,0.999999433852421
"9687",9687,43,45,57,40,46,44,45.5516650576913,0.000483224226839259,0.0549942749527071,0.964476615886806,0.999999433852421
